py5_name,processing_name,decorator,type,implementation,comments
X,X,,static field,SKIP,
Y,Y,,static field,SKIP,
Z,Z,,static field,SKIP,
JAVA2D,JAVA2D,,static field,JAVA,
P2D,P2D,,static field,JAVA,
P3D,P3D,,static field,JAVA,
OPENGL,OPENGL,,static field,JAVA,
FX2D,FX2D,,static field,JAVA,
PDF,PDF,,static field,JAVA,
SVG,SVG,,static field,JAVA,
DXF,DXF,,static field,JAVA,
OTHER,OTHER,,static field,SKIP,
WINDOWS,WINDOWS,,static field,SKIP,
MACOS,MACOS,,static field,SKIP,
LINUX,LINUX,,static field,SKIP,
MACOSX,MACOSX,,static field,SKIP,deprecated
platformNames,platformNames,,static field,SKIP,
EPSILON,EPSILON,,static field,JAVA,
MAX_FLOAT,MAX_FLOAT,,static field,JAVA,
MIN_FLOAT,MIN_FLOAT,,static field,JAVA,
MAX_INT,MAX_INT,,static field,JAVA,
MIN_INT,MIN_INT,,static field,JAVA,
VERTEX,VERTEX,,static field,JAVA,
BEZIER_VERTEX,BEZIER_VERTEX,,static field,JAVA,
QUADRATIC_VERTEX,QUADRATIC_VERTEX,,static field,JAVA,
CURVE_VERTEX,CURVE_VERTEX,,static field,JAVA,
BREAK,BREAK,,static field,JAVA,
QUAD_BEZIER_VERTEX,QUAD_BEZIER_VERTEX,,static field,JAVA,
PI,PI,,static field,PYTHON,
HALF_PI,HALF_PI,,static field,PYTHON,
THIRD_PI,THIRD_PI,,static field,PYTHON,
QUARTER_PI,QUARTER_PI,,static field,PYTHON,
TWO_PI,TWO_PI,,static field,PYTHON,
TAU,TAU,,static field,PYTHON,
DEG_TO_RAD,DEG_TO_RAD,,static field,PYTHON,
RAD_TO_DEG,RAD_TO_DEG,,static field,PYTHON,
WHITESPACE,WHITESPACE,,static field,JAVA,
RGB,RGB,,static field,JAVA,
ARGB,ARGB,,static field,JAVA,
HSB,HSB,,static field,JAVA,
ALPHA,ALPHA,,static field,JAVA,
TIFF,TIFF,,static field,SKIP,
TARGA,TARGA,,static field,SKIP,
JPEG,JPEG,,static field,SKIP,
GIF,GIF,,static field,SKIP,
BLUR,BLUR,,static field,JAVA,
GRAY,GRAY,,static field,JAVA,
INVERT,INVERT,,static field,JAVA,
OPAQUE,OPAQUE,,static field,JAVA,
POSTERIZE,POSTERIZE,,static field,JAVA,
THRESHOLD,THRESHOLD,,static field,JAVA,
ERODE,ERODE,,static field,JAVA,
DILATE,DILATE,,static field,JAVA,
REPLACE,REPLACE,,static field,JAVA,
BLEND,BLEND,,static field,JAVA,
ADD,ADD,,static field,JAVA,
SUBTRACT,SUBTRACT,,static field,JAVA,
LIGHTEST,LIGHTEST,,static field,JAVA,
DARKEST,DARKEST,,static field,JAVA,
DIFFERENCE,DIFFERENCE,,static field,JAVA,
EXCLUSION,EXCLUSION,,static field,JAVA,
MULTIPLY,MULTIPLY,,static field,JAVA,
SCREEN,SCREEN,,static field,JAVA,
OVERLAY,OVERLAY,,static field,JAVA,
HARD_LIGHT,HARD_LIGHT,,static field,JAVA,
SOFT_LIGHT,SOFT_LIGHT,,static field,JAVA,
DODGE,DODGE,,static field,JAVA,
BURN,BURN,,static field,JAVA,
CHATTER,CHATTER,,static field,SKIP,
COMPLAINT,COMPLAINT,,static field,SKIP,
PROBLEM,PROBLEM,,static field,SKIP,
PROJECTION,PROJECTION,,static field,SKIP,
MODELVIEW,MODELVIEW,,static field,SKIP,
CUSTOM,CUSTOM,,static field,SKIP,
ORTHOGRAPHIC,ORTHOGRAPHIC,,static field,SKIP,
PERSPECTIVE,PERSPECTIVE,,static field,SKIP,
GROUP,GROUP,,static field,JAVA,
POINT,POINT,,static field,JAVA,
POINTS,POINTS,,static field,JAVA,
LINE,LINE,,static field,JAVA,
LINES,LINES,,static field,JAVA,
LINE_STRIP,LINE_STRIP,,static field,JAVA,
LINE_LOOP,LINE_LOOP,,static field,JAVA,
TRIANGLE,TRIANGLE,,static field,JAVA,
TRIANGLES,TRIANGLES,,static field,JAVA,
TRIANGLE_STRIP,TRIANGLE_STRIP,,static field,JAVA,
TRIANGLE_FAN,TRIANGLE_FAN,,static field,JAVA,
QUAD,QUAD,,static field,JAVA,
QUADS,QUADS,,static field,JAVA,
QUAD_STRIP,QUAD_STRIP,,static field,JAVA,
POLYGON,POLYGON,,static field,JAVA,
PATH,PATH,,static field,JAVA,
RECT,RECT,,static field,JAVA,
ELLIPSE,ELLIPSE,,static field,JAVA,
ARC,ARC,,static field,JAVA,
SPHERE,SPHERE,,static field,JAVA,
BOX,BOX,,static field,JAVA,
OPEN,OPEN,,static field,JAVA,
CLOSE,CLOSE,,static field,JAVA,
CORNER,CORNER,,static field,JAVA,
CORNERS,CORNERS,,static field,JAVA,
RADIUS,RADIUS,,static field,JAVA,
CENTER,CENTER,,static field,JAVA,
DIAMETER,DIAMETER,,static field,JAVA,
CHORD,CHORD,,static field,JAVA,
PIE,PIE,,static field,JAVA,
BASELINE,BASELINE,,static field,JAVA,
TOP,TOP,,static field,JAVA,
BOTTOM,BOTTOM,,static field,JAVA,
NORMAL,NORMAL,,static field,JAVA,
IMAGE,IMAGE,,static field,JAVA,
CLAMP,CLAMP,,static field,JAVA,
REPEAT,REPEAT,,static field,JAVA,
MODEL,MODEL,,static field,JAVA,
SHAPE,SHAPE,,static field,JAVA,
SQUARE,SQUARE,,static field,JAVA,
