py5_name,processing_name,decorator,type,implementation,comments
X,X,,static field,SKIP,
Y,Y,,static field,SKIP,
Z,Z,,static field,SKIP,
JAVA2D,JAVA2D,,static field,SKIP,
P2D,P2D,,static field,SKIP,
P3D,P3D,,static field,SKIP,
OPENGL,OPENGL,,static field,SKIP,
FX2D,FX2D,,static field,SKIP,
PDF,PDF,,static field,SKIP,
SVG,SVG,,static field,SKIP,
DXF,DXF,,static field,SKIP,
OTHER,OTHER,,static field,SKIP,
WINDOWS,WINDOWS,,static field,SKIP,
MACOS,MACOS,,static field,SKIP,
LINUX,LINUX,,static field,SKIP,
MACOSX,MACOSX,,static field,SKIP,deprecated
platformNames,platformNames,,static field,SKIP,
EPSILON,EPSILON,,static field,SKIP,
MAX_FLOAT,MAX_FLOAT,,static field,SKIP,
MIN_FLOAT,MIN_FLOAT,,static field,SKIP,
MAX_INT,MAX_INT,,static field,SKIP,
MIN_INT,MIN_INT,,static field,SKIP,
VERTEX,VERTEX,,static field,SKIP,
BEZIER_VERTEX,BEZIER_VERTEX,,static field,SKIP,
QUADRATIC_VERTEX,QUADRATIC_VERTEX,,static field,SKIP,
CURVE_VERTEX,CURVE_VERTEX,,static field,SKIP,
BREAK,BREAK,,static field,SKIP,
QUAD_BEZIER_VERTEX,QUAD_BEZIER_VERTEX,,static field,SKIP,
PI,PI,,static field,SKIP,
HALF_PI,HALF_PI,,static field,SKIP,
THIRD_PI,THIRD_PI,,static field,SKIP,
QUARTER_PI,QUARTER_PI,,static field,SKIP,
TWO_PI,TWO_PI,,static field,SKIP,
TAU,TAU,,static field,SKIP,
DEG_TO_RAD,DEG_TO_RAD,,static field,SKIP,
RAD_TO_DEG,RAD_TO_DEG,,static field,SKIP,
WHITESPACE,WHITESPACE,,static field,SKIP,
RGB,RGB,,static field,JAVA,
ARGB,ARGB,,static field,JAVA,
HSB,HSB,,static field,JAVA,
ALPHA,ALPHA,,static field,JAVA,
TIFF,TIFF,,static field,JAVA,
TARGA,TARGA,,static field,JAVA,
JPEG,JPEG,,static field,JAVA,
GIF,GIF,,static field,JAVA,
BLUR,BLUR,,static field,JAVA,
GRAY,GRAY,,static field,JAVA,
INVERT,INVERT,,static field,JAVA,
OPAQUE,OPAQUE,,static field,JAVA,
POSTERIZE,POSTERIZE,,static field,JAVA,
THRESHOLD,THRESHOLD,,static field,JAVA,
ERODE,ERODE,,static field,JAVA,
DILATE,DILATE,,static field,JAVA,
REPLACE,REPLACE,,static field,JAVA,
BLEND,BLEND,,static field,JAVA,
ADD,ADD,,static field,JAVA,
SUBTRACT,SUBTRACT,,static field,JAVA,
LIGHTEST,LIGHTEST,,static field,JAVA,
DARKEST,DARKEST,,static field,JAVA,
DIFFERENCE,DIFFERENCE,,static field,JAVA,
EXCLUSION,EXCLUSION,,static field,JAVA,
MULTIPLY,MULTIPLY,,static field,JAVA,
SCREEN,SCREEN,,static field,JAVA,
OVERLAY,OVERLAY,,static field,JAVA,
HARD_LIGHT,HARD_LIGHT,,static field,JAVA,
SOFT_LIGHT,SOFT_LIGHT,,static field,JAVA,
DODGE,DODGE,,static field,JAVA,
BURN,BURN,,static field,JAVA,
CHATTER,CHATTER,,static field,SKIP,
COMPLAINT,COMPLAINT,,static field,SKIP,
PROBLEM,PROBLEM,,static field,SKIP,
PROJECTION,PROJECTION,,static field,SKIP,
MODELVIEW,MODELVIEW,,static field,SKIP,
CUSTOM,CUSTOM,,static field,SKIP,
ORTHOGRAPHIC,ORTHOGRAPHIC,,static field,SKIP,
PERSPECTIVE,PERSPECTIVE,,static field,SKIP,
GROUP,GROUP,,static field,SKIP,
POINT,POINT,,static field,SKIP,
POINTS,POINTS,,static field,SKIP,
LINE,LINE,,static field,SKIP,
LINES,LINES,,static field,SKIP,
LINE_STRIP,LINE_STRIP,,static field,SKIP,
LINE_LOOP,LINE_LOOP,,static field,SKIP,
TRIANGLE,TRIANGLE,,static field,SKIP,
TRIANGLES,TRIANGLES,,static field,SKIP,
TRIANGLE_STRIP,TRIANGLE_STRIP,,static field,SKIP,
TRIANGLE_FAN,TRIANGLE_FAN,,static field,SKIP,
QUAD,QUAD,,static field,SKIP,
QUADS,QUADS,,static field,SKIP,
QUAD_STRIP,QUAD_STRIP,,static field,SKIP,
POLYGON,POLYGON,,static field,SKIP,
PATH,PATH,,static field,SKIP,
RECT,RECT,,static field,SKIP,
ELLIPSE,ELLIPSE,,static field,SKIP,
ARC,ARC,,static field,SKIP,
SPHERE,SPHERE,,static field,SKIP,
BOX,BOX,,static field,SKIP,
OPEN,OPEN,,static field,SKIP,
CLOSE,CLOSE,,static field,SKIP,
CORNER,CORNER,,static field,SKIP,
CORNERS,CORNERS,,static field,SKIP,
RADIUS,RADIUS,,static field,SKIP,
CENTER,CENTER,,static field,SKIP,
DIAMETER,DIAMETER,,static field,SKIP,
CHORD,CHORD,,static field,SKIP,
PIE,PIE,,static field,SKIP,
BASELINE,BASELINE,,static field,SKIP,
TOP,TOP,,static field,SKIP,
BOTTOM,BOTTOM,,static field,SKIP,
NORMAL,NORMAL,,static field,SKIP,
IMAGE,IMAGE,,static field,SKIP,
CLAMP,CLAMP,,static field,SKIP,
REPEAT,REPEAT,,static field,SKIP,
MODEL,MODEL,,static field,SKIP,
SHAPE,SHAPE,,static field,SKIP,
SQUARE,SQUARE,,static field,SKIP,
