py5_name,processing_name,decorator,type,implementation,comments
MIN_WINDOW_WIDTH,MIN_WINDOW_WIDTH,,static field,SKIP,
MIN_WINDOW_HEIGHT,MIN_WINDOW_HEIGHT,,static field,SKIP,
wait,wait,,method,SKIP,
equals,equals,,method,SKIP,
to_string,toString,,method,SKIP,
hash_code,hashCode,,method,SKIP,
get_class,getClass,,method,SKIP,
notify,notify,,method,SKIP,
notify_all,notifyAll,,method,SKIP,
set_size,setSize,,method,JAVA,
get_native,getNative,,method,JAVA,
native,native,,unknown,SKIP,
set_visible,setVisible,,method,JAVA,
load_image,loadImage,,method,SKIP,
select_input,selectInput,,method,SKIP,
select_output,selectOutput,,method,SKIP,
select_folder,selectFolder,,method,SKIP,
resume_thread,resumeThread,,method,JAVA,
pause_thread,pauseThread,,method,JAVA,
set_frame_rate,setFrameRate,,method,SKIP,
open_link,openLink,,method,JAVA,
is_stopped,isStopped,,method,JAVA,
stopped,stopped,,unknown,SKIP,
stop_thread,stopThread,,method,JAVA,
set_cursor,setCursor,,method,SKIP,
show_cursor,showCursor,,method,SKIP,
hide_cursor,hideCursor,,method,SKIP,
place_present,placePresent,,method,SKIP,
place_window,placeWindow,,method,SKIP,
setup_external_messages,setupExternalMessages,,method,SKIP,
start_thread,startThread,,method,SKIP,
init_frame,initFrame,,method,SKIP,
set_title,setTitle,,method,JAVA,
init_offscreen,initOffscreen,,method,SKIP,
set_location,setLocation,,method,JAVA,
set_resizable,setResizable,,method,JAVA,
set_icon,setIcon,,method,JAVA,
set_always_on_top,setAlwaysOnTop,,method,JAVA,
