py5_name,processing_name,decorator,type,implementation,comments
astype,,,method,PYTHON,
tolist,,,method,PYTHON,
x,,,dynamic variable,PYTHON,
y,,,dynamic variable,PYTHON,
z,,,dynamic variable,PYTHON,
w,,,dynamic variable,PYTHON,
data,,,dynamic variable,PYTHON,
copy,,,dynamic variable,PYTHON,
dim,,,dynamic variable,PYTHON,
dtype,,,dynamic variable,PYTHON,
lerp,,,method,PYTHON,
dist,,,method,PYTHON,
dot,,,method,PYTHON,
angle_between,,,method,PYTHON,
cross,,,method,PYTHON,
set_mag,,,method,PYTHON,
set_mag_sq,,,method,PYTHON,
normalize,,,method,PYTHON,
mag,,,dynamic variable,PYTHON,
mag_sq,,,dynamic variable,PYTHON,
norm,,,dynamic variable,PYTHON,
set_limit,,,method,PYTHON,
heading,,,dynamic variable,PYTHON,
from_heading,,,static method,PYTHON,
random,,,static method,PYTHON,
rotate,,,method,PYTHON,
rotate_around,,,method,PYTHON,
